observation_id,prediction,base_value,feature,feature_value,shap_value
2014_female,20.237128361843027,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_female,20.237128361843027,36.698230533636114,is_female,1.0,-5.688781368322444
2014_female,20.237128361843027,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_female,20.237128361843027,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_female,20.237128361843027,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_female,20.237128361843027,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_female,20.237128361843027,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_female,20.237128361843027,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2014_male,26.63700740120578,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_male,26.63700740120578,36.698230533636114,is_female,0.0,0.7110976710403054
2014_male,26.63700740120578,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_male,26.63700740120578,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_male,26.63700740120578,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_male,26.63700740120578,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_male,26.63700740120578,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_male,26.63700740120578,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2014_older_adults,28.461633558194805,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_older_adults,28.461633558194805,36.698230533636114,is_female,0.0,0.7110976710403054
2014_older_adults,28.461633558194805,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_older_adults,28.461633558194805,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_older_adults,28.461633558194805,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_older_adults,28.461633558194805,36.698230533636114,is_older_adult,1.0,1.6218899173235806
2014_older_adults,28.461633558194805,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_older_adults,28.461633558194805,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2014_poorest_40,16.578470135611493,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_poorest_40,16.578470135611493,36.698230533636114,is_female,0.0,0.7110976710403054
2014_poorest_40,16.578470135611493,36.698230533636114,is_poorest_40,1.0,-8.940922013861584
2014_poorest_40,16.578470135611493,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_poorest_40,16.578470135611493,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_poorest_40,16.578470135611493,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_poorest_40,16.578470135611493,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_poorest_40,16.578470135611493,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2014_primary_education_or_less,19.916218683346138,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_primary_education_or_less,19.916218683346138,36.698230533636114,is_female,0.0,0.7110976710403054
2014_primary_education_or_less,19.916218683346138,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_primary_education_or_less,19.916218683346138,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_primary_education_or_less,19.916218683346138,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_primary_education_or_less,19.916218683346138,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_primary_education_or_less,19.916218683346138,36.698230533636114,is_primary_education,1.0,-5.974034415875235
2014_primary_education_or_less,19.916218683346138,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2014_richest_60,29.82442878842437,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_richest_60,29.82442878842437,36.698230533636114,is_female,0.0,0.7110976710403054
2014_richest_60,29.82442878842437,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_richest_60,29.82442878842437,36.698230533636114,is_richest_60,1.0,2.8332634553054157
2014_richest_60,29.82442878842437,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_richest_60,29.82442878842437,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_richest_60,29.82442878842437,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_richest_60,29.82442878842437,36.698230533636114,is_secondary_education,0.0,-2.4338439570538473
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,is_female,0.0,0.7110976710403054
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,is_poorest_40,0.0,1.1176152517326978
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,is_richest_60,0.0,-0.3541579319131769
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,is_young_adult,0.0,1.103455304766297
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,is_older_adult,0.0,-0.20273623966544752
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,is_primary_education,0.0,0.7467543019844043
2014_secondary_education_or_more,48.54160301469041,36.698230533636114,is_secondary_education,1.0,19.47075165643078
2014_total,26.63700740120578,36.698230533636114,trend_years,3.0,-10.74940753332157
2014_total,26.63700740120578,36.698230533636114,is_female,0.0,0.7110976710403054
